type,contextAware,rate_in_list,distance,duration,weather,rating,gender,age,mood,accepted
0,1,4,2071,272,1,4.1,0,27,6,0
0,1,5,2079,273,1,4.1,0,27,2,0
30,0,0,1704,344,1,3.6,0,38,6,1
6,0,0,832,210,1,4,0,35,0,1
0,1,8,1635,280,1,3,1,23,6,1
0,1,0,2112,329,1,3.6,1,23,6,0
0,1,1,964,162,1,4.8,1,23,6,0
0,1,2,1139,143,1,4.1,1,23,6,0
0,1,3,911,117,1,4,1,23,6,0
16,1,4,1077,200,0,4.1,1,23,6,0
0,1,5,1130,210,1,4.1,1,23,6,0
0,1,6,1716,253,1,5,1,23,6,0
30,1,7,1083,244,1,4.2,1,23,6,0
14,1,1,861,180,1,4,0,23,5,1
0,1,0,1390,254,1,4.1,0,23,5,0
32,1,9,882,218,1,4.1,0,18,2,1
0,1,0,1675,393,1,3.7,0,18,2,0
32,1,1,3585,665,1,3.5,0,18,2,0
32,1,2,298,75,1,5,0,18,2,0
32,1,3,426,109,1,4.1,0,18,2,0
0,1,4,708,183,1,5,0,18,2,0
14,1,5,529,125,0,4.1,0,18,2,0
30,1,6,768,206,1,5,0,18,2,0
0,1,7,592,134,1,4.1,0,18,2,0
0,1,8,2181,475,1,4.7,0,18,2,0
30,0,0,1259,268,1,4.2,0,37,6,1
8,0,0,1192,280,1,2,1,25,2,1
30,1,14,315,40,1,4.2,1,18,0,0
30,1,15,374,57,1,4.1,1,18,0,0
0,1,16,576,83,1,4.1,1,18,0,0
29,0,0,1759,228,1,5,0,18,2,1
30,0,0,654,154,1,3.8,0,38,6,1
0,1,0,1750,399,1,4.5,0,27,1,1
30,0,0,1153,193,1,4,0,27,1,1
0,1,2,1368,281,1,5,0,17,6,1
29,1,0,952,215,1,3.5,0,17,6,0
0,1,1,941,115,1,4,0,17,6,0
30,0,0,3038,663,1,3.7,0,34,4,1
0,1,5,735,254,1,4.5,0,24,2,1
0,1,0,242,89,1,5,0,24,2,0
0,1,1,416,123,1,1,0,24,2,0
0,1,2,300,117,1,5,0,24,2,0
0,1,3,879,244,1,4.1,0,24,2,0
0,1,4,555,172,1,4.1,0,24,2,0
0,1,5,1773,383,1,4.8,0,20,0,1
0,1,0,2076,373,1,5,0,20,4,0
0,1,1,1419,323,1,4.3,0,20,0,0
0,1,2,1426,322,1,5,0,20,5,0
0,1,3,1648,336,1,4.5,0,20,4,0
0,1,4,1914,365,1,4.1,0,20,2,0
30,0,1,3688,413,1,4.1,1,34,2,1
0,1,5,7813,537,1,4.5,0,17,4,1
30,1,0,4548,366,1,3.8,0,17,5,0
0,1,1,6132,710,1,3.9,0,17,6,0
30,1,2,6205,723,1,5,0,17,3,0
1,1,3,8236,627,1,3.7,0,17,1,0
0,1,4,7899,576,1,4.3,0,17,6,0
0,1,2,807,119,1,5,0,50,1,0
30,1,3,872,149,1,3.1,0,50,1,0
30,1,4,1585,312,1,4.6,0,50,1,0
30,0,0,415,78,1,3.5,0,19,6,1
29,1,2,6668,576,1,4,0,21,2,1
0,1,0,1980,178,1,4.1,0,21,2,0
0,1,1,2807,608,1,4.1,0,21,2,0
17,0,0,2329,427,0,5,0,16,0,1
28,0,1,4399,687,1,3.8,0,26,6,1
30,0,0,3950,568,0,4.2,0,26,6,0
0,1,5,3569,545,1,4,1,18,1,1
20,1,0,1481,210,0,5,1,18,1,0
0,1,1,1506,218,1,5,1,18,5,0
0,1,2,4592,543,0,4.1,1,18,5,0
0,1,3,667,88,0,4,1,18,2,0
17,1,4,1182,179,1,4.5,1,18,6,0
0,1,5,1024,203,1,4.1,0,45,2,1
0,1,0,842,145,1,3.5,0,45,2,0
0,1,1,2480,408,1,4,0,45,2,0
0,1,2,592,80,1,3,0,45,2,0
0,1,3,576,76,1,5,0,45,2,0
30,1,4,1107,148,1,4.3,0,45,2,0
24,0,0,279,96,1,3,0,44,4,1
29,0,0,461,134,1,3.9,1,38,0,1
0,1,4,934,152,0,5,0,22,2,1
0,1,0,1248,249,1,4,0,22,2,0
30,1,1,783,133,1,3.7,0,22,2,0
0,1,2,5674,662,1,4.1,0,22,2,0
0,1,3,1167,228,1,4,0,22,2,0
29,1,5,5049,567,1,3.7,0,34,6,1
0,1,0,998,116,1,4,0,34,6,0
30,1,1,1609,237,1,4.1,0,34,1,0
29,1,2,1830,308,1,3.5,0,34,4,0
0,1,3,2528,403,1,5,0,34,5,0
0,1,4,1805,342,1,3,0,34,3,0
8,1,5,4937,454,1,4.1,0,44,0,1
0,1,0,4791,434,1,4.1,0,44,0,0
0,1,1,4426,346,1,5,0,44,0,0
0,1,2,3692,265,1,5,0,44,0,0
0,1,3,4857,438,1,5,0,44,0,0
0,1,4,3401,265,0,4,0,44,0,0
16,1,6,1816,429,1,5,0,36,4,1
18,1,0,809,163,1,4.1,0,36,4,0
14,1,1,1239,331,1,4.1,0,36,4,0
0,1,2,1701,338,1,4.1,0,36,4,0
0,1,3,1600,399,1,4.1,0,36,4,0
0,1,4,3111,531,1,4,0,36,4,0
16,1,5,1972,421,1,5,0,36,4,0
30,0,0,396,97,1,4.2,0,22,0,1
30,0,0,978,106,1,4.1,0,17,1,1
0,1,6,1226,214,1,3.3,0,44,6,1
30,1,0,1929,403,0,3.8,0,44,6,0
0,1,1,1656,319,1,4.3,0,44,6,0
0,1,2,748,123,1,4,0,44,6,0
0,1,3,829,139,1,5,0,44,6,0
8,1,4,1114,192,1,4.1,0,44,6,0
8,1,5,1115,192,1,4.1,0,44,6,0
0,1,6,1405,335,1,4.1,1,26,2,1
0,1,0,431,99,1,5,1,26,2,0
0,1,1,928,259,1,3.7,1,26,2,0
0,1,2,1146,297,1,3.1,1,26,2,0
0,1,3,914,239,1,3,1,26,2,0
0,1,4,1153,233,1,4.3,1,26,2,0
0,1,5,874,178,1,4.1,1,26,2,0
29,1,2,1006,222,1,4.1,0,28,2,1
29,1,0,889,216,1,4.1,0,28,2,0
0,1,1,1094,195,1,4,0,28,2,0
8,0,0,1297,341,1,3,1,13,2,1
29,1,5,2824,505,0,4.1,0,35,2,1
0,1,0,1740,333,1,5,0,35,2,0
32,1,1,5529,912,0,4,0,35,2,0
32,1,2,4127,669,1,4,0,35,2,0
0,1,3,1656,300,1,4.1,0,35,2,0
30,1,4,1900,359,1,4.1,0,35,2,0
30,0,0,3990,404,1,4.1,0,23,2,1
0,1,5,4092,562,1,4.1,0,26,2,1
0,1,0,4521,634,1,5,0,26,2,0
0,1,1,2026,287,1,5,0,26,2,0
0,1,2,2418,408,1,5,0,26,2,0
0,1,3,4371,641,1,2.7,0,26,2,0
0,1,4,1870,248,1,4.1,0,26,2,0
29,0,0,2233,217,1,4.7,0,18,2,1
18,0,0,362,139,1,5,0,23,2,1
16,1,4,6087,679,1,5,0,27,1,1
0,1,0,5989,715,1,4,0,27,5,0
0,1,1,4229,431,1,4.1,0,27,0,0
0,1,2,1180,195,1,4.1,0,27,5,0
0,1,3,2530,253,1,4.1,0,27,5,0
0,1,6,2431,355,1,4,1,41,0,1
0,1,0,1565,236,1,4.5,1,41,0,0
0,1,1,1731,259,1,4.1,1,41,0,0
0,1,2,1001,225,1,5,1,41,0,0
0,1,3,1821,279,1,4.2,1,41,0,0
0,1,4,1211,299,1,5,1,41,0,0
0,1,5,1106,185,1,4.1,1,41,0,0
28,1,5,1836,282,0,4.1,0,31,5,1
0,1,0,732,153,1,3.7,0,31,5,0
0,1,1,676,152,1,4.4,0,31,5,0
0,1,2,814,174,1,3,0,31,5,0
0,1,3,794,172,1,5,0,31,5,0
30,1,4,1141,207,1,3.3,0,31,5,0
30,0,0,776,267,1,4.3,0,39,0,1
0,1,4,801,175,1,4.1,0,22,1,1
0,1,0,123,35,1,4.1,0,22,2,0
30,1,1,1497,221,1,4,0,22,6,0
0,1,2,1298,196,1,3,0,22,5,0
0,1,3,930,215,1,4.1,0,22,4,0
30,1,6,1399,261,0,5,0,23,4,1
8,1,0,1313,271,1,4.6,0,23,4,0
0,1,1,1769,340,1,4.1,0,23,4,0
0,1,2,6228,708,0,3,0,23,4,0
0,1,3,6228,708,1,3,0,23,4,0
0,1,4,6228,708,1,4.1,0,23,4,0
0,1,5,1653,328,1,3.4,0,23,4,0
0,1,5,4523,617,1,4.1,0,19,2,1
0,1,0,1253,254,1,5,0,19,2,0
0,1,1,1120,183,1,4.1,0,19,0,0
0,1,2,1833,324,0,4.1,0,19,4,0
0,1,3,4523,617,1,3,0,19,0,0
0,1,4,4523,617,0,3,0,19,2,0
0,1,4,7468,540,1,4.5,0,27,6,1
0,1,0,3535,351,1,4,0,27,6,0
0,1,1,2982,267,1,4.8,0,27,6,0
0,1,2,8632,581,1,4.6,0,27,6,0
0,1,3,3181,393,1,5,0,27,6,0
8,0,0,1004,213,1,4.1,1,23,1,1
30,0,0,529,156,1,4.2,1,19,2,1
30,0,0,2142,265,1,3.8,0,23,6,1
8,1,6,2604,384,1,5,0,34,5,1
0,1,0,261,74,0,4,0,34,5,0
0,1,1,2170,263,1,4.5,0,34,5,0
0,1,2,65,21,0,3.7,0,34,5,0
29,1,3,753,148,1,3.3,0,34,5,0
0,1,4,1042,200,1,5,0,34,5,0
0,1,5,1062,204,1,4.1,0,34,5,0
0,1,5,497,104,1,4,0,24,1,1
0,1,0,577,80,1,4.1,0,24,6,0
0,1,1,935,155,1,2.7,0,24,2,0
29,1,2,3730,262,1,3.8,0,24,0,0
30,1,3,497,104,1,4.1,0,24,0,0
30,1,4,497,104,1,4.1,0,24,4,0
30,0,0,554,122,1,3.7,0,28,2,1
0,1,3,1756,263,1,4.1,0,8,2,1
0,1,0,2316,458,0,4.7,0,8,2,0
0,1,1,2326,476,1,3.5,0,8,2,0
0,1,2,2528,481,1,4.1,0,8,2,0
31,0,0,1733,288,1,4.1,0,15,4,1
8,0,0,121,32,1,4.5,0,19,1,1
30,0,2,3682,436,1,4,0,17,2,1
0,1,6,233,58,0,5,0,20,2,1
0,1,0,2694,347,1,4.3,0,20,2,0
0,1,1,2096,280,1,1,0,20,2,0
0,1,2,1623,256,0,4.7,0,20,2,0
30,1,3,1629,257,1,4.2,0,20,2,0
0,1,4,3192,389,1,4.5,0,20,2,0
0,1,5,398,74,1,4.1,0,20,2,0
29,0,0,2532,296,1,4.8,1,19,3,1
14,1,9,1208,289,1,4.1,1,77,4,1
0,1,0,2222,398,1,4.5,1,77,4,0
0,1,1,802,169,1,3,1,77,4,0
0,1,2,1024,244,1,4.1,1,77,4,0
0,1,3,1641,332,1,5,1,77,4,0
0,1,4,1646,332,1,4.1,1,77,4,0
0,1,5,2029,404,1,4,1,77,4,0
16,1,6,2195,436,1,3.8,1,77,4,0
0,1,7,1855,407,1,5,1,77,4,0
0,1,8,810,171,1,5,1,77,4,0
25,0,0,3085,371,1,4.2,0,16,4,1
30,0,1,1473,397,1,4.2,0,39,2,1
30,0,0,1418,381,1,5,0,39,2,0
32,1,0,765,115,0,5,0,25,4,1
30,1,5,3256,617,0,4,1,21,2,1
8,1,0,495,151,1,4.7,1,21,2,0
0,1,1,4102,623,1,5,1,21,2,0
0,1,2,1095,244,0,4.1,1,21,2,0
0,1,3,4088,625,1,3.3,1,21,2,0
29,1,4,4543,725,0,4.5,1,21,2,0
0,1,13,3830,423,1,4.8,0,37,1,1
0,1,0,870,203,1,4.4,0,37,1,0
0,1,1,1008,264,1,5,0,37,1,0
29,1,2,5057,562,1,4.4,0,37,1,0
0,1,3,4375,434,1,4.3,0,37,1,0
0,1,4,5564,696,1,5,0,37,1,0
8,1,5,528,105,1,5,0,37,1,0
30,1,6,536,97,1,5,0,37,1,0
0,1,7,4350,461,1,3,0,37,1,0
30,1,8,774,212,1,4.1,0,37,1,0
8,1,9,763,186,1,4,0,37,1,0
0,1,10,1081,247,1,5,0,37,1,0
8,1,11,1352,394,1,5,0,37,1,0
0,1,12,3857,428,0,5,0,37,1,0
30,0,0,700,136,1,4.1,0,15,5,1
28,0,0,300,92,1,4.1,0,28,0,1
0,1,0,3033,312,1,3.8,0,18,6,1
27,0,0,1875,435,1,4.1,0,22,1,1
18,0,0,2030,344,1,2,0,43,2,1
0,1,1,3510,584,1,3,0,27,2,1
8,1,0,4673,776,1,4.4,0,27,2,0
